mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					p												
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	1.0					
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0													
1	1	1/2	1/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	1													
1	1	3/2	3/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	2													
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	3													
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0																0	0
2	2	3	3	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cantabile"										
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	4									0				
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	5									0				
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	1	1	0													0		0		
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	6									0		0		
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	7									0		0		
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	8									0		0		
2	2	11/2	11/2	0.0	5/8	5/8	Spanner	3/4	1	1	0													0				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	9									0				
2	2	3	3	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	10													
2	2	7/2	7/2	1.0	1/8	1/8	Chord	3/4	1	2	1/4		1/4	1	11													
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	12													
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	13													
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	14													
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	15												0	0
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0													0	0			
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	16									0	0			
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	1	1	0																	
3	3	7	7	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	17													
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	18													
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	19													
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	20													
3	3	6	6	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""9.8903""/><font face=""Plantin MT Std""/>cantabile"										
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																	
3	3	6	6	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	21													
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	22													
3	3	7	7	0.0	1/4	1/4	Spanner	3/4	2	1	0															1		
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	23											1		
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	24											1		
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	25											1		
3	3	17/2	17/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																	
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	26													
3	3	6	6	3.0	0	0	Chord	3/4	2	2	3/4		1/2	3/2	27													
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	28									1				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	29									1				
4	4	10	10	0.0	1/4	1/4	Spanner	3/4	1	1	0													1		2		
