mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<b><font size=""12""/><font face=""Times New Roman""/>Allegro giocoso alla marcia</b>"					
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					p							
1	1	1/2	1/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	0								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	1								
1	1	0	0	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	2								
2	2	5/2	5/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	3								
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	4								
2	2	2	2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	5								
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	6		articStaccatoBelow						
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	7				0				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	8								
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	9		articStaccatoBelow						
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	10		articStaccatoBelow						
3	3	9/2	9/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	11								
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	12								
3	3	4	4	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	13								
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	14		articStaccatoBelow						
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	15		articStaccatoBelow						
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	16		articStaccatoBelow						
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	17		articStaccatoBelow						
4	4	13/2	13/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	18								
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	19								
4	4	6	6	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	20								
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	21		articStaccatoBelow						
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	22				1				
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	23								
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	24								
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	25		articStaccatoBelow						
5	5	17/2	17/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	26								
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	27								
5	5	8	8	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	28								
6	6	10	10	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	29								
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatoBelow						
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	31		articTenutoBelow						
6	6	21/2	21/2	1.0	1/8	1/8	Chord	2/4	2	1	1/4		1/4	1	32								
