mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><b>Allegretto</b>"					
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					mf							
1	1	0	0	0.0	0	0	Spanner	2/4	1	1	0											0	
1	1	0	0	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	0							0	
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0												
2	2	2	2	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	1								
2	2	3	3	0.0	1/4	1/4	Dynamic	2/4	2	1	0					p							
2	2	3	3	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	2								
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	3		articStaccatoAbove						
3	3	4	4	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	4								
3	3	4	4	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	5								
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	6		articStaccatoAbove						
3	3	5	5	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	7								
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	8		articStaccatoAbove						
4	4	6	6	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	9								
4	4	6	6	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	10								
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	11		articStaccatoAbove						
4	4	7	7	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	12								
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	13		articStaccatoAbove						
5	5	8	8	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>dim e rit.</i>"					
5	5	8	8	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	14								
5	5	8	8	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	15								
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	16		articStaccatoBelow						
5	5	9	9	0.0	1/4	1/4	Chord	2/4	2	1	0	acciaccatura	1/8	1	17								
5	5	9	9	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	18		articStaccatoBelow						
6	6	10	10	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	19								
6	6	10	10	0.0	0	0	Chord	2/4	2	1	0	acciaccatura	1/8	1	20								
6	6	10	10	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	21		articStaccatoBelow						
