mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.0	0	0	4/4	2	1	A.vii%43{		A	I		vii%43	vii	%	43				{	%7	0	0	-1, 3, 5, 2		5	-1
1	1	3	1.0	3/4	3/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	4	1.0	0	0	4/4	2	1	#viio7/ii	V43(#4#2)	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
2	2	5	1.0	1/4	1/4	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	2	6	1.0	1/2	1/2	4/4	2	1	#viio7/ii	V43(#4#2)	A	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
2	2	7	1.0	3/4	3/4	4/4	2	1	V43		A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
3	3	8	3.0	0	0	4/4	2	1	vii%43		A	I		vii%43	vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
3	3	11	1.0	3/4	3/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	12	3.0	0	0	4/4	2	1	vii%43/V		A	I		vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
4	4	15	1.0	3/4	3/4	4/4	2	1	I6/V		A	I		I6/V	I		6		V			M	0	0	5, 2, 1		1	5
5	5	16	2.0	0	0	4/4	2	1	V/V[V(64)/V		A	I	V/V	V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
5	5	18	2.0	1/2	1/2	4/4	2	1	viio2/V/V		A	I	V/V	viio2/V/V	vii	o	2		V/V			o7	0	0	-2, 7, 4, 1		7	-2
6	6	20	2.0	0	0	4/4	2	1	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V			Mm7	0	0	2, 6, 3, 0	-3	2	2
6	6	22	2.0	1/2	1/2	4/4	2	1	I/V|IAC}		A	I		I/V	I				V	IAC	}	M	0	0	1, 5, 2		1	1
7	7	24	4.0	0	0	4/4	2	1	bII6/vi{	bVII6{	A	I		bII6/vi	bII		6		vi		{	M	0	0	2, -1, -2		-2	2
8	8	28	1.0	0	0	4/4	2	1	V7/vi		A	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
8	8	29	1.0	1/4	1/4	4/4	2	1	V(64)/vi		A	I		V(64)/vi	V			64	vi			M	0	0	4, 3, 0		4	4
8	8	30	1.0	1/2	1/2	4/4	2	1	#vi%7/vi	V(#964)/vi	A	I		#vi%7/vi	#vi	%	7		vi			%7	0	0	6, 3, 0, 4		6	6
8	8	31	1.0	3/4	3/4	4/4	2	1	V7/vi		A	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
9	9	32	2.0	0	0	4/4	2	1	i/vi}		A	I		i/vi	i				vi		}	m	0	0	3, 0, 4		3	3
9	9	34	0.5	1/2	1/2	4/4	2	1	i/vi		A	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
9	9	69/2	0.5	5/8	5/8	4/4	2	1	V7(6)/vi		A	I		V7(6)/vi	V		7	6	vi			Mm7	0	0	4, 8, 0, 2		4	4
9	9	35	0.5	3/4	3/4	4/4	2	1	i/vi		A	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
9	9	71/2	0.5	7/8	7/8	4/4	2	1	V7(6)/vi		A	I		V7(6)/vi	V		7	6	vi			Mm7	0	0	4, 8, 0, 2		4	4
10	10	36	4.0	0	0	4/4	2	1	i/vi		A	I		i/vi	i				vi			m	0	0	3, 0, 4		3	3
11	11	40	4.0	0	0	4/4	2	1	bII6/ii{	bIII6{	A	I		bII6/ii	bII		6		ii		{	M	0	0	1, -2, -3		-3	1
12	12	44	1.0	0	0	4/4	2	1	V7/ii		A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
12	12	45	1.0	1/4	1/4	4/4	2	1	V(64)/ii		A	I		V(64)/ii	V			64	ii			M	0	0	3, 2, -1		3	3
12	12	46	1.0	1/2	1/2	4/4	2	1	#vi%7/ii	V(#964)/ii	A	I		#vi%7/ii	#vi	%	7		ii			%7	0	0	5, 2, -1, 3		5	5
12	12	47	1.0	3/4	3/4	4/4	2	1	V7/ii		A	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
13	13	48	2.5	0	0	4/4	2	1	i/ii}		A	I		i/ii	i				ii		}	m	0	0	2, -1, 3		2	2
13	13	101/2	0.5	5/8	5/8	4/4	2	1	V7(6)/ii		A	I		V7(6)/ii	V		7	6	ii			Mm7	0	0	3, 7, -1, 1		3	3
13	13	51	0.5	3/4	3/4	4/4	2	1	i/ii		A	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
13	13	103/2	0.5	7/8	7/8	4/4	2	1	V7(6)/ii		A	I		V7(6)/ii	V		7	6	ii			Mm7	0	0	3, 7, -1, 1		3	3
14	14	52	2.5	0	0	4/4	2	1	I/II		A	I		I/II	I				II			M	0	0	2, 6, 3		2	2
14	14	109/2	0.5	5/8	5/8	4/4	2	1	V7(6)/II		A	I		V7(6)/II	V		7	6	II			Mm7	0	0	3, 7, 6, 1		3	3
14	14	55	0.5	3/4	3/4	4/4	2	1	I/II		A	I		I/II	I				II			M	0	0	2, 6, 3		2	2
14	14	111/2	0.5	7/8	7/8	4/4	2	1	V7(6)/II		A	I		V7(6)/II	V		7	6	II			Mm7	0	0	3, 7, 6, 1		3	3
15	15	56	4.0	0	0	4/4	2	1	I/II		A	I		I/II	I				II			M	0	0	2, 6, 3		2	2
16	16	60	2.0	0	0	4/4	2	1	i/ii		A	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
