mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	2	1		eb.V[i{		eb	i	V	i	i						{	m	1	1	0, -3, 1		0	0
5	5	0	0	2/2	2	1		V2/V		eb	i	V	V2/V	V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
7	7	0	0	2/2	2	1		iv64	ii%2	eb	i	V	iv64	iv		64					m	1	1	0, -1, -4		-1	0
9	9	0	0	2/2	2	1		V(+4)]		eb	i	V	V(+4)	V			+4				M	1	1	1, 5, 2	0	1	1
11	11	0	0	2/2	2	1		III		eb	i		III	III							M	1	1	-3, 1, -2		-3	-3
12	12	0	0	2/2	2	1		VII	V/III	eb	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
13	13	0	0	2/2	2	1		VI	IV/III	eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	14	0	0	2/2	2	1		III		eb	i		III	III							M	1	1	-3, 1, -2		-3	-3
15	15	0	0	2/2	2	1		iio	VII6	eb	i		iio	ii	o						o	1	1	2, -1, -4		2	2
15	15	1/2	1/2	2/2	2	1		i	VI6	eb	i		i	i							m	1	1	0, -3, 1		0	0
16	16	0	0	2/2	2	1		VII	v6	eb	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
16	16	1/2	1/2	2/2	2	1		#vi	IV6	eb	i		#vi	#vi							m	1	1	3, 0, 4		3	3
18	18	0	0	2/2	2	1		VI	iv6	eb	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
19	19	0	0	2/2	2	1		v}	V}	eb	i		v	v						}	m	1	1	1, -2, 2		1	1
21	20	0	3/4	2/2	2	1		#viio43{		eb	i		#viio43	#vii	o	43				{	o7	1	1	-1, -4, 5, 2		5	-1
24	23	1/4	1/4	2/2	2	1		V		eb	i		V	V							M	1	1	1, 5, 2		1	1
24	23	3/4	3/4	2/2	2	1		vi%7	#viio2(#5)	eb	i		vi%7	vi	%	7					%7	1	1	-4, -7, -10, -6		-4	-4
25	24	1/4	1/4	2/2	2	1		#viio2		eb	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
25	24	3/4	3/4	2/2	2	1		#viio2	#viio43/iii	eb	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
28	27	1/4	1/4	2/2	2	1		V/iii		eb	i		V/iii	V				iii			M	1	1	-2, 2, -1		-2	-2
28	27	3/4	3/4	2/2	2	1		vi%7/iii	#viio2(#5)/iii	eb	i		vi%7/iii	vi	%	7		iii			%7	1	1	-7, -10, -13, -9		-7	-7
29	28	1/2	1/2	2/2	2	1		#viio7	#viio2/iii	eb	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
29	28	3/4	3/4	2/2	2	1		#viio7	#viio43/bv	eb	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
30	29	1/4	1/4	2/2	2	1		V/bv		eb	i		V/bv	V				bv			M	1	1	-5, -1, -4		-5	-5
30	29	3/4	3/4	2/2	2	1		vi%7/bv	#viio2(#5)/bv	eb	i		vi%7/bv	vi	%	7		bv			%7	1	1	-10, -13, -16, -12		-10	-10
31	30	1/4	1/4	2/2	2	1		#viio65	#viio2/bv	eb	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
31	30	3/4	3/4	2/2	2	1		#viio65	#viio43/#vi	eb	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
32	31	1/4	1/4	2/2	2	1		V/#vi		eb	i		V/#vi	V				#vi			M	1	1	4, 8, 5		4	4
32	31	3/4	3/4	2/2	2	1		vi%7/#vi	#viio2(#5)/#vi	eb	i		vi%7/#vi	vi	%	7		#vi			%7	1	1	-1, -4, -7, -3		-1	-1
33	32	1/4	1/4	2/2	2	1		#viio43	#viio2/#vi	eb	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
33	32	3/4	3/4	2/2	2	1		#viio7		eb	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
34	33	1/4	1/4	2/2	2	1		V		eb	i		V	V							M	1	1	1, 5, 2		1	1
34	33	3/4	3/4	2/2	2	1		#viio65	#viio7/iii	eb	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
35	34	1/4	1/4	2/2	2	1		V/iii		eb	i		V/iii	V				iii			M	1	1	-2, 2, -1		-2	-2
35	34	3/4	3/4	2/2	2	1		#viio43	#viio7/bv	eb	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
36	35	1/4	1/4	2/2	2	1		V/bv		eb	i		V/bv	V				bv			M	1	1	-5, -1, -4		-5	-5
36	35	3/4	3/4	2/2	2	1		#viio2	#viio7/#vi	eb	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
37	36	1/4	1/4	2/2	2	1		V/#vi}		eb	i		V/#vi	V				#vi		}	M	1	1	4, 8, 5		4	4
37	36	3/4	3/4	2/2	2	1		{		eb	i									{		1	1				
38	37	0	0	2/2	2	1		#VI.I[I		eb	#VI	I	I	I							M	1	0	0, 4, 1		0	0
40	39	0	0	2/2	2	1		V7(9)		eb	#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
42	41	0	0	2/2	2	1		I		eb	#VI	I	I	I							M	1	0	0, 4, 1		0	0
43	42	0	0	2/2	2	1		V7(9)		eb	#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
44	43	0	0	2/2	2	1		I		eb	#VI	I	I	I							M	1	0	0, 4, 1		0	0
44	43	1/2	1/2	2/2	2	1		V7(9)		eb	#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
45	44	0	0	2/2	2	1		I		eb	#VI	I	I	I							M	1	0	0, 4, 1		0	0
45	44	1/2	1/2	2/2	2	1		V7(9)		eb	#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
46	45	0	0	2/2	2	1		I]		eb	#VI	I	I	I							M	1	0	0, 4, 1		0	0
46	45	1/2	1/2	2/2	2	1		III/#VI.I[V7(9)		eb	III/#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
47	46	0	0	2/2	2	1		I		eb	III/#VI	I	I	I							M	1	0	0, 4, 1		0	0
47	46	1/2	1/2	2/2	2	1		V7(9)		eb	III/#VI	I	V7(9)	V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
48	47	0	0	2/2	2	1		I]		eb	III/#VI	I	I	I							M	1	0	0, 4, 1		0	0
50	49	0	0	2/2	2	1		I(b5)		eb	III/#VI		I(b5)	I			b5				M	1	0	0, 4, -6		0	0
51	50	0	0	2/2	2	1		I		eb	III/#VI		I	I							M	1	0	0, 4, 1		0	0
52	51	0	0	2/2	2	1		I(b5)		eb	III/#VI		I(b5)	I			b5				M	1	0	0, 4, -6		0	0
53	52	0	0	2/2	2	1		I		eb	III/#VI		I	I							M	1	0	0, 4, 1		0	0
54	53	0	0	2/2	2	1		i.V|HC}		eb	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
62	61	3/4	3/4	2/2	2	1		i{		eb	i		i	i						{	m	1	1	0, -3, 1		0	0
63	62	0	0	2/2	2	1		V[i		eb	i	V	i	i							m	1	1	0, -3, 1		0	0
65	64	0	0	2/2	2	1		V2/V		eb	i	V	V2/V	V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
66	65	3/4	3/4	2/2	2	1		iv64	ii%2	eb	i	V	iv64	iv		64					m	1	1	0, -1, -4		-1	0
