mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-3	4/4	1	0	firstMeasure					2
2	2	-3	4/4	1	0						3
3	3	-3	4/4	1	0						4
4	4	-3	4/4	1	0						5
5	5	-3	4/4	1	0						6
6	6	-3	4/4	1	0						7
7	7	-3	4/4	1	0						8
8	8	-3	4/4	1	0						9
9	9	-3	4/4	1	0						10
10	10	-3	4/4	1	0						11
11	11	-3	4/4	1	0						12
12	12	-3	4/4	1	0						13
13	13	-3	4/4	1	0						14
14	14	-3	4/4	1	0						15
15	15	-3	4/4	1	0						16
16	16	-3	4/4	1	0						17
17	17	-3	4/4	1	0						18
18	18	-3	4/4	1	0						19
19	19	-3	4/4	1	0						20
20	20	-3	4/4	1	0						21
21	21	-3	4/4	1	0						22
22	22	-3	4/4	1	0						23
23	23	-3	4/4	1	0						24
24	24	-3	4/4	1	0						25
25	25	-3	4/4	1	0						26
26	26	-3	4/4	1	0						27
27	27	-3	4/4	1	0						28
28	28	-3	4/4	1	0						29
29	29	-3	4/4	1	0						30
30	30	-3	4/4	1	0						31
31	31	-3	4/4	1	0						32
32	32	-3	4/4	1	0	lastMeasure		end			-1
