mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-3	3/4	1/4	1/2	2	firstMeasure				1	2
2	1	-3	3/4	3/4	0	3						3
3	2	-3	3/4	3/4	0	3						4
4	3	-3	3/4	3/4	0	3						5
5	4	-3	3/4	3/4	0	3						6
6	5	-3	3/4	3/4	0	3						7
7	6	-3	3/4	3/4	0	3						8
8	7	-3	3/4	3/4	0	3						9
9	8	-3	3/4	3/4	0	3						10
10	9	-3	3/4	3/4	0	4						11
11	10	-3	3/4	3/4	0	4						12
12	11	-3	3/4	3/4	0	4						13
13	12	-3	3/4	3/4	0	4						14
14	13	-3	3/4	3/4	0	4						15
15	14	-3	3/4	3/4	0	4						16
16	15	-3	3/4	3/4	0	4						17
17	16	-3	3/4	3/4	0	4						18
18	17	-3	3/4	3/4	0	4						19
19	18	-3	3/4	3/4	0	2						20
20	19	-3	3/4	3/4	0	4						21
21	20	-3	3/4	3/4	0	4						22
22	21	-3	3/4	3/4	0	4						23
23	22	-3	3/4	3/4	0	2						24
24	23	-3	3/4	3/4	0	4						25
25	24	-3	3/4	3/4	0	4			double			26
26	25	2	3/4	3/4	0	3						27
27	26	2	3/4	3/4	0	3						28
28	27	2	3/4	3/4	0	3						29
29	28	2	3/4	3/4	0	3						30
30	29	2	3/4	3/4	0	3						31
31	30	2	3/4	3/4	0	3						32
32	31	2	3/4	3/4	0	3						33
33	32	2	3/4	3/4	0	3			double			34
34	33	-2	3/4	3/4	0	3						35
35	34	-2	3/4	3/4	0	3						36
36	35	-2	3/4	3/4	0	3						37
37	36	-2	3/4	3/4	0	3						38
38	37	-2	3/4	3/4	0	3						39
39	38	-2	3/4	3/4	0	3						40
40	39	-2	3/4	3/4	0	3						41
41	40	-2	3/4	3/4	0	3						42
42	41	-2	3/4	3/4	0	3						43
43	42	-2	3/4	3/4	0	3						44
44	43	-2	3/4	3/4	0	3						45
45	44	-2	3/4	3/4	0	3						46
46	45	-2	3/4	3/4	0	3						47
47	46	-2	3/4	3/4	0	3						48
48	47	-2	3/4	3/4	0	3						49
49	48	-2	3/4	3/4	0	2			double			50
50	49	-3	3/4	3/4	0	3						51
51	50	-3	3/4	3/4	0	3						52
52	51	-3	3/4	3/4	0	3						53
53	52	-3	3/4	3/4	0	3						54
54	53	-3	3/4	3/4	0	3						55
55	54	-3	3/4	3/4	0	3						56
56	55	-3	3/4	3/4	0	3						57
57	56	-3	3/4	3/4	0	3						58
58	57	-3	3/4	3/4	0	4						59
59	58	-3	3/4	3/4	0	4						60
60	59	-3	3/4	3/4	0	4						61
61	60	-3	3/4	3/4	0	4						62
62	61	-3	3/4	3/4	0	4						63
63	62	-3	3/4	3/4	0	4						64
64	63	-3	3/4	3/4	0	4						65
65	64	-3	3/4	3/4	0	4						66
66	65	-3	3/4	3/4	0	4						67
67	66	-3	3/4	3/4	0	2						68
68	67	-3	3/4	3/4	0	4						69
69	68	-3	3/4	3/4	0	4						70
70	69	-3	3/4	3/4	0	4						71
71	70	-3	3/4	3/4	0	2						72
72	71	-3	3/4	3/4	0	4						73
73	72	-3	3/4	3/4	0	4						74
74	73	-3	3/4	3/4	0	3						75
75	74	-3	3/4	3/4	0	3	lastMeasure		end			
