mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/4		1/4	1		1	67	2	1	
1	1	0	1/4		1/4	1		1	79	1	1	
1	1	1/4	3/16		1/8	3/2		2	74	2	1	
1	1	1/4	3/16		1/8	3/2		2	86	1	1	
1	1	7/16	1/16		1/16	1		0	72	2	1	
1	1	7/16	1/16		1/16	1		0	84	1	1	
2	2	0	1/8		1/8	1		-3	75	2	1	
2	2	0	1/8		1/8	1		-3	87	1	1	
2	2	1/8	1/4		1/4	1		2	74	2	1	
2	2	1/8	1/4		1/4	1		2	86	1	1	
3	3	0	1/2		1/2	1		-3	63	2	2	
3	3	0	1/4		1/4	1		1	67	2	1	
3	3	0	1/2		1/2	1		0	72	1	2	
3	3	0	3/8		1/4	3/2		1	79	1	1	
3	3	1/4	1/4		1/4	1		8	68	2	1	
3	3	3/8	1/8		1/8	1		6	78	1	1	
4	4	0	3/8		1/4	3/2		2	62	2	2	
4	4	0	3/8		1/4	3/2		3	69	2	1	
4	4	0	3/8		1/4	3/2		2	74	1	2	
4	4	0	3/8		1/4	3/2		6	78	1	1	
5	5	0	1/16		1/16	1		1	43	2	1	
5	5	0	1/2		1/2	1		1	43	2	2	
5	5	1/16	1/16		1/16	1	1	2	50	2	1	
5	5	1/8	1/8		1/8	1	0	2	50	2	1	
5	5	1/8	1/8		1/8	1		0	60	1	3	
5	5	1/8	3/8		1/4	3/2		6	66	1	2	
5	5	3/16	1/16		1/16	1		3	69	1	1	
5	5	1/4	1/4		1/4	1	-1	2	50	2	1	
5	5	1/4	1/8		1/8	1		-3	63	1	3	
5	5	1/4	1/8		1/8	1		-2	70	1	1	
5	5	3/8	1/8		1/8	1		0	60	1	3	
5	5	3/8	1/8		1/8	1		3	69	1	1	
6	6	0	1/16		1/16	1		1	43	2	1	
6	6	0	1/2		1/2	1		1	43	2	2	
6	6	1/16	1/16		1/16	1	1	2	50	2	1	
6	6	1/8	1/8		1/8	1	0	2	50	2	1	
6	6	1/8	1/8		1/8	1		3	57	1	3	
6	6	1/8	3/8		1/4	3/2		-3	63	1	2	
6	6	3/16	1/16		1/16	1		6	66	1	1	
6	6	1/4	1/4		1/4	1	-1	2	50	2	1	
6	6	1/4	1/8		1/8	1		-2	58	1	3	
6	6	1/4	1/16		1/16	1		1	67	1	1	
6	6	5/16	1/16		1/16	1		6	66	1	1	
6	6	3/8	1/8		1/8	1		3	57	1	3	
6	6	3/8	1/8		1/8	1		6	66	1	1	
7	7	0	1/16		1/16	1		1	43	2	1	
7	7	0	1/2		1/2	1		1	43	2	2	
7	7	1/16	1/16		1/16	1	1	2	50	2	1	
7	7	1/8	1/8		1/8	1	0	2	50	2	1	
7	7	1/8	1/8		1/8	1		1	55	1	3	
7	7	1/8	3/8		1/4	3/2		0	60	1	2	
7	7	3/16	1/16		1/16	1		-3	63	1	1	
7	7	1/4	1/4		1/4	1	-1	2	50	2	1	
7	7	1/4	1/8		1/8	1		3	57	1	3	
7	7	1/4	1/8		1/8	1		-1	65	1	1	
7	7	3/8	1/8		1/8	1		1	55	1	3	
7	7	3/8	1/8		1/8	1		-3	63	1	1	
8	8	0	1/16		1/16	1		1	43	2	1	
8	8	0	1/2		1/2	1		1	43	2	2	
8	8	1/16	1/16		1/16	1	1	2	50	2	1	
8	8	1/8	1/8		1/8	1	0	2	50	2	1	
8	8	1/8	1/16		1/16	1		6	54	1	1	
8	8	1/8	1/16		1/16	1		2	62	1	1	
8	8	3/16	1/16		1/16	1		2	50	1	1	
8	8	3/16	1/16		1/16	1		-2	58	1	1	
8	8	1/4	1/8		1/8	1		0	48	1	2	
8	8	1/4	1/4		1/4	1	-1	2	50	2	1	
8	8	1/4	3/32		1/16	3/2		3	57	1	1	
8	8	11/32	1/32		1/32	1		1	55	1	1	
8	8	3/8	1/8		1/8	1		-2	46	1	2	
8	8	3/8	1/8		1/8	1		1	55	1	1	
9	9	0	1/16		1/16	1		1	31	2	1	
9	9	0	1/16		1/16	1		1	43	2	1	
9	9	0	1/2		1/2	1		1	43	2	2	
9	9	1/16	1/16		1/16	1	1	2	50	2	1	
9	9	1/8	1/8		1/8	1	0	2	50	2	1	
9	9	1/8	1/32		1/32	1		0	60	1	1	
9	9	1/8	1/8		1/8	1		0	60	1	3	
9	9	5/32	1/32		1/32	1		6	66	1	1	
9	9	5/32	1/32		1/32	1		6	66	1	2	
