mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	0
2	1	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	1
2	1	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	9
2	1	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	7
2	1	2	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	2
2	1	5/2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	3
2	1	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	10
2	1	3	3	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	8
2	1	3	3	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67	G4	4	8
2	1	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	4
2	1	4	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	11
2	1	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	5
2	1	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	12
2	1	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	6
3	2	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		2	62	D4	4	21
3	2	5	5	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	19
3	2	5	5	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	17
3	2	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	13
3	2	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	22
3	2	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	14
3	2	7	7	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		5	59	B3	3	23
3	2	7	7	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	20
3	2	7	7	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67	G4	4	18
3	2	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	15
3	2	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	62	D4	4	16
4	3	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		5	59	B3	3	33
4	3	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	33
4	3	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	30
4	3	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	24
4	3	10	10	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	25
4	3	21/2	21/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	26
4	3	11	11	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	34
4	3	11	11	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		0	60	C4	4	34
4	3	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	31
4	3	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	27
4	3	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	32
4	3	12	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	28
