mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	2/2	2	1	1/2	1/2	1.0		0	60	C4	4	2
1	1	0	2.0	0	0	2/2	1	1	1/2	1/2	1.0		4	64	E4	4	0
1	1	0	2.0	0	0	2/2	1	1	1/2	1/2	1.0		1	67	G4	4	0
1	1	2	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1.0		3	57	A3	3	3
1	1	2	2.0	1/2	1/2	2/2	2	1	1/2	1/2	1.0		0	60	C4	4	3
1	1	2	2.0	1/2	1/2	2/2	1	1	1/2	1/2	1.0		4	64	E4	4	1
1	1	2	2.0	1/2	1/2	2/2	1	1	1/2	1/2	1.0		3	69	A4	4	1
2	2	4	2.0	0	0	2/2	1	1	1/2	1/2	1.0	1	0	60	C4	4	4
2	2	4	2.0	0	0	2/2	1	1	1/2	1/2	1.0	1	4	64	E4	4	4
2	2	4	2.0	0	0	2/2	1	1	1/2	1/2	1.0	1	1	67	G4	4	4
2	2	5	1.0	1/4	1/4	2/2	2	1	1/4	1/4	1.0		1	43	G2	2	7
2	2	5	1.0	1/4	1/4	2/2	2	1	1/4	1/4	1.0		1	55	G3	3	7
2	2	6	1.0	1/2	1/2	2/2	2	1	1/4	1/4	1.0		0	48	C3	3	8
2	2	6	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1.0	-1	0	60	C4	4	5
2	2	6	1.0	1/2	1/2	2/2	2	1	1/4	1/4	1.0		0	60	C4	4	8
2	2	6	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1.0	-1	4	64	E4	4	5
2	2	6	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1.0	-1	1	67	G4	4	5
2	2	7	1.0	3/4	3/4	2/2	2	1	1/4	1/4	1.0		3	45	A2	2	9
2	2	7	1.0	3/4	3/4	2/2	2	1	1/4	1/4	1.0		3	57	A3	3	9
2	2	7	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1.0		0	60	C4	4	6
2	2	7	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1.0		-1	65	F4	4	6
2	2	7	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1.0		0	72	C5	5	6
3	3	8	1.0	0	0	2/2	2	1	1/4	1/4	1.0		1	43	G2	2	16
3	3	8	1.0	0	0	2/2	2	1	1/4	1/4	1.0		1	55	G3	3	16
3	3	8	1.0	0	0	2/2	1	1	1/4	1/4	1.0		0	60	C4	4	10
3	3	8	1.0	0	0	2/2	1	1	1/4	1/4	1.0		-1	65	F4	4	10
3	3	8	1.0	0	0	2/2	1	1	1/4	1/4	1.0		5	71	B4	4	10
3	3	9	1.0	1/4	1/4	2/2	2	1	1/4	1/4	1.0		-1	41	F2	2	17
3	3	9	1.0	1/4	1/4	2/2	2	1	1/4	1/4	1.0		-1	53	F3	3	17
3	3	9	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1.0		0	60	C4	4	11
3	3	9	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1.0		-1	65	F4	4	11
3	3	9	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1.0		3	69	A4	4	11
3	3	10	1.0	1/2	1/2	2/2	2	1	1/4	1/4	1.0		4	40	E2	2	18
