mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1	1	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		2	62	D4	4	4
1	1	1	1	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	0
1	1	3/2	3/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	5
1	1	3/2	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	1
1	1	2	2	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		2	62	D4	4	6
1	1	2	2	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	2
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	7
1	1	5/2	5/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	3
2	2	3	3	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	63	Eb4	4	10
2	2	3	3	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	8
2	2	5	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	11
2	2	5	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	9
3	3	6	6	2.0	0	0	3/4	2	1	1/2		1/2	1		-3	63	Eb4	4	14
3	3	6	6	2.0	0	0	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	12
3	3	8	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	15
3	3	8	8	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	13
4	4	9	9	3.0	0	0	3/4	2	1	3/4		1/2	3/2	1	-3	63	Eb4	4	17
4	4	9	9	3.0	0	0	3/4	1	1	3/4		1/2	3/2	1	-3	75	Eb5	5	16
5	5	12	12	3.0	0	0	3/4	2	1	3/4		1/2	3/2	-1	-3	63	Eb4	4	19
5	5	12	12	3.0	0	0	3/4	1	1	3/4		1/2	3/2	-1	-3	75	Eb5	5	18
6	6	15	15	1.0	0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	23
6	6	15	15	3.0	0	0	3/4	1	1	3/4		1/2	3/2	1	2	62	D4	4	20
6	6	15	15	3.0	0	0	3/4	1	1	3/4		1/2	3/2	1	6	66	F#4	4	20
6	6	15	15	2.0	0	0	3/4	1	2	1/2		1/2	1		-2	70	Bb4	4	21
6	6	15	15	3.0	0	0	3/4	1	1	3/4		1/2	3/2	1	2	74	D5	5	20
6	6	16	16	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	45	A2	2	24
6	6	16	16	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	54	F#3	3	24
6	6	17	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	25
6	6	17	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	25
6	6	17	17	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1	1	3	69	A4	4	22
7	7	18	18	1.0	0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	31
