mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	e.iv{						e	i		iv		iv						{	m	1	1	3, 0, 4		3.0	3.0	0	23	0.0	0.0	6.0	0.0
4	4	1/4	1/4	3/4	2	1	iv(+#4)						e	i		iv(+#4)		iv			+#4				m	1	1	3, 0, 4	9	3.0	3.0	0	5	0.0	0.0	0.875	0.0
4	4	1/2	1/2	3/4	2	1	IV						e	i		IV		IV							M	1	1	3, 7, 4		3.0	3.0	0	3	0.0	0.0	0.625	0.0
5	5	0	0	3/4	2	1	i6(#7)						e	i		i6(#7)		i		6	#7				m	1	1	1, 5, 9		4.0	1.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
6	6	1/4	1/4	3/4	2	1	i6(#6)						e	i		i6(#6)		i		6	#6				m	1	1	1, 5, 4	7	4.0	1.0	1	4	0.2	0.0	0.875	0.0
6	6	1/2	1/2	3/4	2	1	i6						e	i		i6		i		6					m	1	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.625	0.0
7	7	0	0	3/4	2	1	V43(#9)						e	i		V43(#9)		V		43	#9				Mm7	1	1	6, 3, 5, 9	7	5.0	6.0	2	19	0.09523809523809523	0.25	4.25	0.05555555555555555
9	9	0	0	3/4	2	1	i|IAC}						e	i		i		i					IAC	}	m	1	1	4, 1, 5		4.0	4.0	0	14	0.0	0.0	4.25	0.0
11	11	0	0	3/4	2	1	iv/v{						e	i		iv/v		iv				v		{	m	1	1	4, 1, 5		4.0	4.0	0	9	0.0	0.0	2.5	0.0
12	12	1/4	1/4	3/4	2	1	iv(+#4)/v						e	i		iv(+#4)/v		iv			+#4	v			m	1	1	4, 1, 5	10	4.0	4.0	0	5	0.0	0.0	0.875	0.0
12	12	1/2	1/2	3/4	2	1	IV/v						e	i		IV/v		IV				v			M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.625	0.0
13	13	0	0	3/4	2	1	i6(#7)/v						e	i		i6(#7)/v		i		6	#7	v			m	1	1	2, 6, 10		5.0	2.0	4	8	0.3333333333333333	1.0	2.0	0.3333333333333333
14	14	1/4	1/4	3/4	2	1	i6/v						e	i		i6/v		i		6		v			m	1	1	2, 6, 5		5.0	2.0	3	5	0.375	0.375	1.125	0.25
